Red: Red de Vigilancia y Control de la Contaminación Atmosférica
Estación: 46250050-València - Bulevard Sud
	
FECHA	HORA	SO2	NO	NO2	NOx	O3
		µg/m³	µg/m³	µg/m³	µg/m³	µg/m³
15/01/2024	02	3	4	4	10	53
15/01/2024	03	5	4	4	10	53
15/01/2024	04	3	4	4	10	54
15/01/2024	05	3	4	4	9	52
15/01/2024	06	3	4	4	9	48
15/01/2024	07	3	4	8	14	39
15/01/2024	08	3	4	8	14	35
15/01/2024	09	3	4	9	14	36
15/01/2024	10	3	4	6	11	41
15/01/2024	11	3	4	6	12	40
15/01/2024	12	3	4	6	11	42
15/01/2024	13	3	4	5	11	43
15/01/2024	14	3	4	4	9	41
15/01/2024	15	3	4	4	9	46
15/01/2024	16	4	4	4	9	55
15/01/2024	17	3	4	5	10	54
15/01/2024	18	3	4	5	11	52
15/01/2024	19	3	4	7	13	53
15/01/2024	20	3	4	6	11	56
15/01/2024	21	3	4	12	17	50
15/01/2024	22	3	4	4	9	54
15/01/2024	23	3	4	4	9	55
16/01/2024	00	3	4	9	15	45
16/01/2024	01	3	4	4	9	54
16/01/2024	02	3	4	4	9	54
16/01/2024	03	3	4	4	9	52
16/01/2024	04	3	4	4	9	52
16/01/2024	05	3	4	4	9	51
16/01/2024	06	3	4	5	10	47
16/01/2024	07	3	4	11	17	42
16/01/2024	08	3	4	20	26	35
16/01/2024	09	3	4	14	19	38
16/01/2024	10	5	4	5	11	45
16/01/2024	11	3	4	4	10	50
16/01/2024	12	3	4	6	11	47
16/01/2024	13	3	4	7	13	45
16/01/2024	14	3	4	5	10	49
16/01/2024	15	5	4	5	11	48
16/01/2024	16	3	4	6	11	49
16/01/2024	17	3	4	23	29	35
16/01/2024	18	5	8	51	62	12
16/01/2024	19	3	14	55	75	8
16/01/2024	20	3	4	12	17	44
16/01/2024	21	3	4	10	15	48
16/01/2024	22	3	4	4	9	64
16/01/2024	23	3	4	4	9	72
17/01/2024	00	3	4	4	9	72
17/01/2024	01	3	4	5	10	62
17/01/2024	02	3	4	4	10	56
17/01/2024	03	3	4	5	11	61
17/01/2024	04	3	4	5	10	50
17/01/2024	05	3	4	11	17	37
17/01/2024	06	3	9	33	46	18
17/01/2024	07	4	105	60	221	3
17/01/2024	08	4	68	61	165	3
17/01/2024	09	3	18	39	66	23
17/01/2024	10	3	4	18	24	45
17/01/2024	11	3	5	7	14	61
17/01/2024	12	3	4	4	9	69
17/01/2024	13	3	4	4	9	72
17/01/2024	14	3	4	4	9	76
17/01/2024	15	3	4	4	10	76
17/01/2024	16	3	4	4	9	77
17/01/2024	17	3	4	4	10	80
17/01/2024	18	3	4	4	10	76
17/01/2024	19	3	4	4	10	74
17/01/2024	20	3	4	4	10	76
17/01/2024	21	3	4	4	10	78
17/01/2024	22	3	4	4	10	76
17/01/2024	23	3	4	4	10	76
18/01/2024	00	3	4	4	10	76
18/01/2024	01	3	4	4	10	77
18/01/2024	02	3	4	4	9	76
18/01/2024	03	3	4	4	10	76
18/01/2024	04	3	4	4	10	75
18/01/2024	05	3	4	4	10	73
18/01/2024	06	3	4	4	9	70
18/01/2024	07	3	4	7	13	61
18/01/2024	08	3	4	8	13	60
18/01/2024	09	3	4	4	10	65
18/01/2024	10	3	4	4	9	65
18/01/2024	11	3	4	4	9	66
18/01/2024	12	3	4	5	10	63
18/01/2024	13	3	4	4	9	69
18/01/2024	14	3	4	4	9	71
18/01/2024	15	3	4	4	9	70
18/01/2024	16	3	4	4	9	70
18/01/2024	17	3	4	4	9	67
18/01/2024	18	3	4	14	19	54
18/01/2024	19	3	4	9	15	57
18/01/2024	20	3	4	5	10	60
18/01/2024	21	3	4	6	11	57
18/01/2024	22	3	4	4	10	62
18/01/2024	23	3	4	4	9	63
19/01/2024	00	3	4	4	9	63
19/01/2024	01	3	4	4	9	58
19/01/2024	02	3	4	4	10	55
